"ID";"Email";"Name";"Question 1 - Please rate your experience in the field of programming.";"Question 2 - Please rate your experience level with the TypeScript language.";"Question 3 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 4 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 5 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 6 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 7 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 8 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 9 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 10 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 11 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 12 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 13 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 14 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 15 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 16 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 17 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 18 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 19 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 20 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 21 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 22 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 23 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 24 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 25 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 26 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 27 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 28 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 29 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 30 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 31 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 32 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 33 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 34 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Duration in s Page 1";"Duration in s Page 2";"Duration in s Page 3";"Duration in s Page 4";"Duration in s Page 5";"Duration in s Page 6";"Duration in s Page 7";"Duration in s Page 8";"Duration in s Page 9";"Duration in s Page 10";"Duration in s Page 11";"Duration in s Page 12";"Duration in s Page 13";"Duration in s Page 14";"Duration in s Page 15";"Duration in s Page 16";"Duration in s Page 17";"Duration in s Page 18";"Duration in s Page 19";"Duration in s Page 20";"Duration in s Page 21";"Duration in s Page 22";"Duration in s Page 23";"Language";"Start time";"End time";"Duration in s";"Duration";"Browser";"Operation System";"completed";"Answer quote";"Date"
"3GEHZE";"";"";"Proficient";"Beginner";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:34:21";"";"0";" 00:00:00";"Chrome 63";"Mac OS 10. 12";"0";"5,88%";"2017-11-23"
"92VF9H";"";"";"Proficient";"Beginner";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:40:24";"";"0";" 00:00:00";"Firefox 56";"Windows 10";"0";"5,88%";"2017-11-23"
"3UP9UK";"";"";"Beginner";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"30,6582";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:45:14";"";"0";" 00:00:00";"Firefox 57";"Linux x86-64 0";"0";"5,88%";"2017-11-23"
"WB2SZ6";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:52:58";"";"0";" 00:00:00";"Chrome 62";"Android 7";"0";"5,88%";"2017-11-23"
"Y132HY";"";"";"Beginner";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:53:06";"";"0";" 00:00:00";"Firefox 57";"Windows 10";"0";"5,88%";"2017-11-23"
"OX37KR";"";"";"Advanced";"I have never written or read TypeScript before";"3, 6";"3, 15";"12";"6, 25";"10, 20, 29, 37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"136,047";"78,5068";"132,77";"113,987";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:58:48";"";"0";" 00:00:00";"Chrome 54";"Windows 10";"0";"20,59%";"2017-11-23"
"BR1MBA";"";"";"Advanced";"Beginner";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:01:42";"";"0";" 00:00:00";"Chrome 62";"Mac OS 10. 13";"0";"5,88%";"2017-11-23"
"88QX5R";"";"";"Beginner";"Beginner";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:07:20";"";"0";" 00:00:00";"Firefox 57";"Windows 10";"0";"5,88%";"2017-11-23"
"DZN3M0";"";"";"Beginner";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:08:22";"";"0";" 00:00:00";"Chrome 62";"Mac OS 10. 13";"0";"5,88%";"2017-11-23"
"1MS8P6";"";"";"Advanced";"Advanced";"3";"3, 5, 24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"101,991";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:10:28";"";"0";" 00:00:00";"Chrome 62";"Android 8";"0";"11,76%";"2017-11-23"
"SGUV6S";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"109,447";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:17:13";"";"0";" 00:00:00";"Chrome 62";"Ubuntu ";"0";"5,88%";"2017-11-23"
"8QZE4E";"";"";"Proficient";"I have never written or read TypeScript before";"2";"3,7,23";"2,14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"154,424";"647,391";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:26:23";"";"0";" 00:00:00";"Chrome 62";"Mac OS 10. 13";"0";"14,71%";"2017-11-23"
"6I344Y";"";"";"Beginner";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:28:15";"";"0";" 00:00:00";"Chrome 62";"Windows 10";"0";"5,88%";"2017-11-23"
"7CRMG5";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"15";"7";"";"3";"17";"11, 16, 24";"";"3";"12";"";"";"";"1, 3";"";"1";"";"";"16";"1";"";"3";"8, 23";"";"";"";"";"1";"";"2";"";"0";"48,4213";"128,88";"140,377";"122,594";"122,508";"99,5339";"160,851";"53,8903";"145,229";"71,595";"87,312";"20,7672";"55,917";"79,4482";"77,8412";"50,8208";"42,372";"96,4093";"94,8153";"58,9462";"36,1893";"63,4883";"en";"2017-11-23 19:28:47";"2017-11-23 20:00:20";"1893";" 00:31:33";"Firefox 56";"Ubuntu ";"1";"50,00%";"2017-11-23"
"J8C94V";"";"";"Advanced";"I have never written or read TypeScript before";"3,6,7,11";"8,13,16,20,26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"114,468";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:30:28";"";"0";" 00:00:00";"Chrome 62";"Windows 10";"0";"11,76%";"2017-11-23"
"NBMVVQ";"";"";"Beginner";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:35:03";"";"0";" 00:00:00";"Chrome 52";"Mac OS 10. 11";"0";"5,88%";"2017-11-23"
"N8IMN1";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:36:54";"";"0";" 00:00:00";"Chrome 62";"Android 6";"0";"5,88%";"2017-11-23"
"RPBQO2";"";"";"I have never written a software program before";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 19:42:00";"";"0";" 00:00:00";"Safari 11";"Mac OS 10. 11";"0";"5,88%";"2017-11-23"
"MB2VRJ";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"3, 4, 9, 11, 12, 15";"3, 7, 13, 15, 31, 33, 40, 42";"3, 19, 27, 28";"3, 5, 12";"3, 17, 32";"3, 13, 15, 23";"3, 8, 23, 28";"3, 4, 10, 13, 18";"3, 5, 8";"3, 7, 12";"1, 2";"16";"1, 3";"";"1, 2";"9, 19";"1";"12";"1";"8, 15";"1, 2";"21, 34";"1";"15";"1";"11";"1";"19";"1, 2";"";"0";"148,686";"298,9";"210,265";"120,295";"60,1703";"60,0303";"45,0777";"104,308";"43,1031";"54,239";"22,6446";"31,0584";"42,9242";"42,3512";"28,4131";"52,4413";"42,602";"52,9867";"45,0489";"13,7199";"35,4845";"17,1745";"en";"2017-11-23 19:47:28";"2017-11-23 20:14:43";"1635";" 00:27:15";"Firefox 57";"Linux x86-64 0";"1";"88,24%";"2017-11-23"
" 025G6M";"";"";"Advanced";"I have never written or read TypeScript before";"3,6";"3,5,9,10,11,29";"3,9,11,15";"3,7,13,15,25,28";"3,10,37";"3,5";"3,14,19";"3,4,7,21,23";"";"";"";"";"1";"16";"1,2,3";"";"1";"19";"1";"";"1,2";"8";"1,2,3";"5,8,9,15,21,41,43";"1";"14";"1,2";"";"1";"19";"1,3";"";"0";"307,694";"201,984";"269,416";"156,301";"105,493";"146,077";"150,898";"0";"1,2712";"1,0498";" 0,9586";"18,545";"71,0376";"36,3817";"70,1157";"16,857";"161,66";"227,103";"29,7538";"35,5755";"144,978";"94,7815";"en";"2017-11-23 19:52:46";"2017-11-23 21:56:39";"7433";" 02:03:53";"Firefox 57";"Linux x86-64 0";"1";"76,47%";"2017-11-23"
"5S9X6U";"";"";"Advanced";"Beginner";"3,6";"3, 5, 11, 13, 29";"3, 9, 12";"3, 7, 13, 15, 25, 31, 41";"3, 19, 27, 37";"3, 5, 10, 12";"3, 14, 19, 26";"3, 4, 23";"3, 19, 28";"3, 4, 10, 18";"3, 5, 12,";"3, 5, 7";"1,2";"16";"1,2,3";"";"1,2";"20";"1";"16";"1";"8, 19";"1, 2, 3";"21";"1";"";"1,2";"11";"1, 2";"15";"1,2,4";"14";"4,2044";"228,446";"211,868";"323,886";"108,67";"98,1325";"157,033";"135,663";"0";"109,212";"128,231";"77,3192";"29,5402";"53,8729";"84,5427";"97,5426";"36,9881";"139,368";"110,858";"97,4469";"23,9323";"45,1124";"60,762";"en";"2017-11-23 19:53:59";"2017-11-23 22:03:37";"7778";" 02:09:38";"Chrome 62";"Windows 10";"1";"94,12%";"2017-11-23"
"LE9PB3";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"62,3412";"7,76";"12,6113";"6,6192";"4,1062";"4,1085";"4,3786";"1,9164";"2,8985";"1,3196";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 20:08:34";"";"0";" 00:00:00";"Firefox 57";"Windows 10";"0";"5,88%";"2017-11-23"
"62UDJ4";"";"";"Advanced";"Beginner";"3, 9";"3, 8, 13, 20, 25";"3, 8, 10, 12, 15";"3, 4, 6, 7, 15, 16, 25, 31, 39, 41";"3, 9, 20, 27, 30, 37";"3, 5, 12";"3, 17, 32, 39";"3, 13, 16, 19, 24";"3";"3, 11, 18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"83,5645";"426,602";"131,082";"30,6124";"88,2578";"0";"0";"1170,09";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 20:16:45";"";"0";" 00:00:00";"Chrome 62";"Windows 10";"0";"35,29%";"2017-11-23"
"8YH6OZ";"";"";"Advanced";"I have never written or read TypeScript before";"4";"3,8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"2886,05";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 20:19:20";"";"0";" 00:00:00";"Chrome 62";"Windows 10";"0";"11,76%";"2017-11-23"
"3I9OMO";"";"";"Proficient";"Beginner";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"0";"55,2317";"5,2486";"26,6423";"11,896";"12,6037";"13,7007";"6,1194";"5,4631";"5,8511";"8,2515";"4,2307";"11,2767";"29,0105";"9,6296";"20,2557";"6,8593";"4,483";"8,1476";"2,8964";"4,7211";"3,1325";"11,6114";"en";"2017-11-23 20:30:23";"2017-11-23 20:35:07";"284";" 00:04:44";"Chrome 62";"Ubuntu ";"1";"35,29%";"2017-11-23"
"4NRAQU";"";"";"Advanced";"I have never written or read TypeScript before";"3,5,6,11";"5,6,11,24";"3,8,9,11,12";"3,12,17,30,31,39,40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"164,078";"87,6723";"165,286";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 20:35:34";"";"0";" 00:00:00";"Safari 11";"Mac OS 10. 13";"0";"17,65%";"2017-11-23"
"3AE233";"";"";"Advanced";"I have never written or read TypeScript before";"10";"11";"9,11,13,14";"7,17,34";"27,30";"12";"17,25";"19";"9";"11";"4,13,16";"7";"2";"";"3";"";"2";"";"1";"";"2";"";"2,3";"";"1,2";"";"1";"9";"2";"7";"3,4";"";"0";"50,0306";"23,6399";"23,8463";"12,1991";"7,0413";"12,7977";"19,6807";"12,9976";"5,6525";"42,7603";"5,496";"2,5345";"360,671";"8,1965";"6,2363";"10,1696";"6,179";"7,45";"5,4322";"17,4645";"10,8368";"12,7829";"en";"2017-11-23 20:41:09";"2017-11-23 20:53:43";"754";" 00:12:34";"Chrome 62";"Mac OS 10. 12";"1";"76,47%";"2017-11-23"
"1F8GEH";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 20:48:13";"";"0";" 00:00:00";"Firefox 57";"Windows 10";"0";"5,88%";"2017-11-23"
"LOAM9L";"";"";"Advanced";"I have never written or read TypeScript before";"2,4,6,8,9";"3,4,5,6,8,13,15,20,25";"3,4,8,9,10,12,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"82,2138";"28,8485";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 20:59:03";"";"0";" 00:00:00";"Chrome 62";"Windows 10";"0";"14,71%";"2017-11-23"
"W1UZH8";"";"";"Proficient";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 21:12:53";"";"0";" 00:00:00";"Firefox 57";"Windows 10";"0";"5,88%";"2017-11-23"
